ID,Do_tuoi,Thiet_bi_chinh,Trinh_do_cong_nghe,Muc_tieu_truy_cap_web
T1,17,Mobile,Cao,Mang xa hoi
T2,16,Mobile,Trung binh,Giai tri (video/tin tuc)
T3,19,Mobile,Cao,Choi game
T4,18,Mobile,Trung binh,Hoc tap/Nghien cuu
T5,17,Desktop,Cao,Choi game
T6,19,Mobile,Thap,Mang xa hoi
T7,22,Mobile,Cao,Mang xa hoi
T8,24,Mobile,Trung binh,Mua sam online
T9,21,Desktop,Cao,Hoc tap/Nghien cuu
T10,27,Mobile,Trung binh,Cong viec/Nang suat
T11,23,Mobile,Cao,Giai tri (video/tin tuc)
T12,29,Desktop,Trung binh,Cong viec/Nang suat
T13,20,Mobile,Thap,Mang xa hoi
T14,26,Mobile,Cao,Mua sam online
T15,28,Desktop,Cao,Ngan hang/Tai chinh
T16,25,Mobile,Trung binh,Dat ve/Du lich
T17,22,Desktop,Trung binh,Hoc tap/Nghien cuu
T18,29,Mobile,Cao,Choi game
T19,24,Mobile,Thap,Giai tri (video/tin tuc)
T20,27,Desktop,Trung binh,Cong viec/Nang suat
T21,32,Desktop,Trung binh,Cong viec/Nang suat
T22,35,Mobile,Cao,Mua sam online
T23,30,Mobile,Trung binh,Mang xa hoi
T24,38,Desktop,Trung binh,Ngan hang/Tai chinh
T25,33,Mobile,Thap,Dat ve/Du lich
T26,31,Desktop,Cao,Cong viec/Nang suat
T27,37,Mobile,Trung binh,Giai tri (video/tin tuc)
T28,34,Desktop,Trung binh,Mua sam online
T29,39,Mobile,Thap,Tra cuu suc khoe
T30,36,Desktop,Cao,Cong viec/Nang suat
T31,32,Mobile,Trung binh,Dat ve/Du lich
T32,30,Desktop,Trung binh,Ngan hang/Tai chinh
T33,42,Desktop,Trung binh,Cong viec/Nang suat
T34,45,Mobile,Thap,Tra cuu suc khoe
T35,41,Desktop,Cao,Ngan hang/Tai chinh
T36,48,Mobile,Trung binh,Mua sam online
T37,44,Desktop,Trung binh,Tim kiem thong tin chung
T38,47,Mobile,Thap,Giai tri (video/tin tuc)
T39,40,Desktop,Cao,Cong viec/Nang suat
T40,49,Desktop,Trung binh,Dat ve/Du lich
T41,52,Desktop,Thap,Tra cuu suc khoe
T42,55,Mobile,Trung binh,Ngan hang/Tai chinh
T43,50,Desktop,Trung binh,Tim kiem thong tin chung
T44,58,Mobile,Thap,Giai tri (video/tin tuc)
T45,53,Desktop,Trung binh,Mua sam online
T46,56,Mobile,Thap,Tra cuu suc khoe
T47,62,Desktop,Thap,Tra cuu suc khoe
T48,65,Mobile,Thap,Tim kiem thong tin chung
T49,68,Desktop,Trung binh,Ngan hang/Tai chinh
T50,70,Mobile,Thap,Giai tri (video/tin tuc)
